,'k127',88
,'g075',111
,'195/65R15 BRIDGESTONE 91T LM005','50.49'
,'195/65R15 CONTINENTAL 95T XL IC3 TA',78
,'195/65R15 CONTINENTAL 95T XL VC8','76.05'
,'195/65R15 DIAMOND BACK DR777 91T Studless DDB71 3PMSF M+S','31,4'
,'195/65R15 DYNAMO SNOW-H MSL01 95T XL Friction BCB70 3PMSF M+S','31.22'
,'195/65R15 DYNAMO SNOW-H MWH01 (BW56) 95T XL RP Studless EDB70 3PMSF M+S','29,11'
,'195/65R15 DYNAMO SNOW-H MWH01 (BW56) 95T XL RP Studless EDB70 3PMSF M+S',29.11.25
,'195/65R15 FIRESTONE 91T WINTERHAWK 4 71 dB','41.29'
